DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
AUGUSTA,NAPSo Programada,0,2022-05-23 10:58:00,2022-05-24 05:10:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,0,2022-04-26 08:26:38,2022-04-27 01:25:59,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2022
AUGUSTA,NAPSo Programada,0,2022-10-23 12:33:00,2022-10-23 14:19:43,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-10-13 03:48:11,2022-10-13 15:35:36,INTERNA;NAO PROGRAMADA;TERCEIROS;ROUBO,2022
AUGUSTA,NAPSo Programada,0,2022-08-08 19:12:18,2022-08-08 23:45:04,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-09-19 21:59:40,2022-09-19 22:58:45,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;SERVICO MAL EXECUTADO,2022
AUGUSTA,NAPSo Programada,0,2022-07-14 16:58:46,2022-07-15 07:00:03,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-09-06 13:01:22,2022-09-07 04:13:39,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2022
AUGUSTA,NAPSo Programada,0,2022-09-06 15:23:03,2022-09-07 04:13:39,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2022
AUGUSTA,NAPSo Programada,6,2022-12-13 09:57:12,2022-12-14 09:45:41,INTERNA;NAO PROGRAMADA;NAO CLASSIFICADA;,2022
AUGUSTA,NAPSo Programada,6,2022-09-29 09:37:02,2022-09-29 13:20:45,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-09-30 08:48:19,2022-09-30 21:33:33,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-07-13 13:43:00,2022-07-13 15:56:57,INTERNA;NAO PROGRAMADA;NAO CLASSIFICADA;,2022
AUGUSTA,NAPSo Programada,0,2022-02-03 17:46:19,2022-02-04 01:47:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,0,2022-08-26 18:24:20,2022-08-26 22:08:14,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-05-22 15:02:42,2022-05-22 19:03:07,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,0,2022-10-04 05:33:41,2022-10-04 17:58:59,INTERNA;NAO PROGRAMADA;TERCEIROS;ROUBO,2022
AUGUSTA,NAPSo Programada,0,2022-10-14 18:13:44,2022-10-17 18:42:25,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-08-31 10:17:16,2022-08-31 13:18:02,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-08-30 21:25:25,2022-08-31 10:47:26,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,6,2022-01-02 18:56:26,2022-01-02 21:31:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,0,2022-06-19 20:04:06,2022-06-19 21:27:06,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2022
AUGUSTA,NAPSo Programada,0,2022-10-25 07:40:24,2022-10-25 12:32:24,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2022
AUGUSTA,NAPSo Programada,0,2022-06-07 08:53:47,2022-06-08 01:00:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-03-29 11:04:53,2022-03-29 12:57:53,Interna - Nao Programada - Nao classificada,2022
AUGUSTA,NAPSo Programada,0,2022-10-01 23:16:00,2022-10-02 00:13:25,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-09-10 00:42:46,2022-09-10 05:05:16,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-06-20 18:34:31,2022-06-21 20:31:22,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-03-30 14:10:04,2022-03-31 01:50:39,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,0,2022-09-02 09:40:00,2022-09-02 17:50:45,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2022
