DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
PAULA SOUZA,NAPSo Programada,6,2018-10-02 09:01:12,2018-10-02 14:05:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-04-06 23:42:17,2018-04-07 04:40:47,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-02-13 09:56:32,2018-02-13 14:29:02,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-02-13 09:56:39,2018-02-13 14:29:00,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-06-11 23:00:00,2018-06-12 00:50:05,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-06-11 23:00:49,2018-06-12 03:40:23,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-01-21 14:00:07,2018-01-21 15:11:21,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-01-21 14:00:07,2018-01-21 15:11:21,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-01-21 14:00:07,2018-01-21 15:11:21,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-06-11 23:00:32,2018-06-12 00:30:50,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-12 07:14:23,2018-06-12 15:23:04,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-30 21:38:00,2018-01-30 22:34:13,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-27 10:26:00,2018-07-27 11:24:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
