DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
NOVO BANDEIRANTES,NAPSo Programada,3,2024-02-15 07:51:47,2024-02-15 22:37:41,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-26 08:01:32,2024-04-26 10:08:47,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-20 09:18:15,2024-01-20 14:02:54,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-26 02:12:34,2024-04-26 08:31:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-25 10:20:14,2024-02-25 16:19:56,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-25 10:25:55,2024-02-26 11:55:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-06 12:00:46,2024-03-06 15:14:02,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-06 12:03:11,2024-03-07 11:21:59,INTERNA;NAO PROGRAMADA;NAO CLASSIFICADA;,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-25 14:38:34,2024-02-25 16:19:56,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-06-05 15:22:49,2024-06-05 21:23:19,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
