eq_nome,eq_enderec,eq_bairro,eq_cep,eq_horario,eq_telefon,eq_regiao,eq_distrit,eq_subpref,eq_esfera,eq_classe,eq_rede,eq_tipo,geometry,Latitude,Longitude
LUIZ CINTRA DO PRADO PROFESSOR,"RUA ARTUR FERREIRA DE ABREU, 321",JARDIM GUARAU,05547-150,,37826739,OESTE,65,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (319511.022079 7389347.892342),-23.596337301188424,-46.76885984554144
JOAO XXIII,"AVENIDA VATICANO, 245",JARDIM JOAO XXIII,05569-120,,37820839,OESTE,65,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (316823.631789 7388761.478018),-23.601329461520752,-46.79525939884149
MARIA LUISA MONTEIRO DA CUNHA BIBLIOTECARIA,"RUA INACIO MANUEL ALVARES, 697",JARDIM ESTER,05372-111,,37826691,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (319774.723729 7391081.942116),-23.58071091544729,-46.7660668165018
OSWALDO WALDER PROFESSOR,"RUA SARA NEWTON, 256",JARDIM BOA VISTA,05583-030,,37824809,OESTE,65,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (317067.94695 7390835.655293),-23.58263077992598,-46.79261131264132
SOLON BORGES DOS REIS,"AVENIDA JOSE JOAQUIM SEABRA, 1187 A",JARDIM IVANA,05364-000,,37635076,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (320890.213488 7392403.136222),-23.568906318169184,-46.75498128834573
ODAIR MARTINIANO DA SILVA MANDELA,"RUA CACHOEIRA NOVA, 378",CONJUNTO PROMORAR RAPOSO TAVARES,05574-460,,37843772,OESTE,65,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (316237.219799 7390414.535562),-23.586338649289114,-46.80080065682964
RAUL CORTEZ RAUL CRISTIANO MACHADO CORTEZ,"RUA FAUSTOLO, 213",AGUA BRANCA,05041-000,,38711405,OESTE,48,08,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (327693.55502 7397452.250145),-23.524056739362727,-46.68776046466797
RENATO BRAGA PROFESSOR,"RUA ARTHUR BLISS, 465",JARDIM CASA BLANCA,05842-020,,55113584,SUL,46,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322497.604186 7383554.568081),-23.648973167029606,-46.740291798267485
JOAO SILVA PROFESSOR,"ABILIO CESAR, 243",JARDIM SORAIA,05881-020,,58723030,SUL,43,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (318824.504617 7380015.421536),-23.680517358968544,-46.77672262332315
DAVINA AGUIAR DIAS PROFESSORA,"FRANCISCO DE ABREU, SN",JARDIM IMBE,05863-100,,58925666,SUL,19,17,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (319786.314212 7380385.555146),-23.677283562180595,-46.76724904010817
BEATRIZ DE QUADROS LEME PROFESSORA,"RUA PROFESSOR GASTAO RAMOS, 03",PARQUE FERNANDA,05888-160,,58215444,SUL,19,17,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (317434.610123 7380625.108779),-23.674856023942922,-46.79027264204337
LEOPOLDO SANTANA PROFESSOR,"RUA MANOEL DUARTE OLIVEIRA, 151",CAPAO REDONDO,05859-100,,55111501,SUL,19,17,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (319778 7381363.7),,
ZULMIRA CAVALHEIRO FAUSTINO DONA,"LUIZ GRASSMANN, 216",JARDIM MIRANTE,05801-050,,58519377,SUL,46,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (323243.335984 7383923.95357),-23.645720037507303,-46.732939069357286
LUIZ GONZAGA PINTO E SILVA PROFESSOR,"GERALDO FRAGA DE OLIVEIRA, 324",JARDIM SAO LUIS,05843-000,,58514602,SUL,46,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322730.947136 7383120.131116),-23.652921150146092,-46.73805667660237
MARIA PECCIOLI GIANNASI PROFESSORA,"CATALDO PARRILHA, 179",JARDIM SANTA MARGARIDA,04930-055,,58911586,SUL,43,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321330.751864 7380053.273352),-23.68045557390834,-46.7521491997334
PAULO OCTAVIO DE AZEVEDO PROFESSOR,"ANTONIO VIEIRA MISTURA, 440",JARDIM SANTA EDWIGES CAPELA DO SOCORRO,04913-110,,55146352,SUL,46,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322721.468962 7380325.964974),-23.678147247092188,-46.73848321852825
JOAO DE DEUS CARDOSO DE MELLO,"FRANCISCO DE ALMEIDA SOUZA, 192",JARDIM SOUZA,04917-070,,55146386,SUL,46,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321748.449144 7379064.954895),-23.689424820521513,-46.748173254042435
ORLANDO MENDES DE MORAES PROFESSOR,"BARONESA, 100",PARQUE BOLOGNE,04941-175,,55171865,SUL,43,18,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (320631.765599 7378967.727011),-23.69017861248244,-46.75913270895378
